Campaign,Ad Group,Keyword,Match Type,Est CPC USD (pre-launch),Est Monthly Searches,Final URL
Krista - Agentic CX Search,Agentic AI Customer Service,agentic ai for customer service,Phrase,14.00,320,https://krista.ai/contact
Krista - Agentic CX Search,Agentic AI Customer Service,agentic ai customer service,Exact,15.50,260,https://krista.ai/contact
Krista - Agentic CX Search,Agentic AI Customer Service,agentic ai support,Phrase,11.00,140,https://krista.ai/contact
Krista - Agentic CX Search,Agentic AI Customer Service,customer service ai agents,Phrase,12.50,590,https://krista.ai/contact
Krista - Agentic CX Search,AI Customer Service Automation,ai customer service automation,Phrase,13.00,720,https://krista.ai/contact
Krista - Agentic CX Search,AI Customer Service Automation,automate customer service with ai,Exact,12.00,210,https://krista.ai/contact
Krista - Agentic CX Search,AI Customer Service Automation,enterprise customer service automation,Phrase,16.00,170,https://krista.ai/contact
Krista - Agentic CX Search,Enterprise AI Support Platform,ai platform for customer support,Phrase,17.50,140,https://krista.ai/contact
Krista - Agentic CX Search,Enterprise AI Support Platform,enterprise agentic ai platform,Exact,18.00,90,https://krista.ai/contact
Krista - Agentic CX Search,Enterprise AI Support Platform,ai customer experience platform,Phrase,19.00,480,https://krista.ai/contact
Krista - Agentic CX Search,AI Email Triage,ai email response automation,Phrase,10.50,390,https://krista.ai/contact
Krista - Agentic CX Search,AI Email Triage,email triage ai,Phrase,9.50,110,https://krista.ai/contact
Krista - Agentic CX Search,AI Email Triage,ai email classification,Exact,9.00,170,https://krista.ai/contact
